Title,Location,Salary,Link
Junior-Mid PHP/SQL Developer (Programista PHP/SQL),Poznań,No salary information,"https://www.pracuj.pl/praca/junior-mid-php-sql-developer-programista-php-sql-poznan,oferta,1003704328"
IT Senior Cloud Engineer,"Poznań, Stare Miasto",No salary information,"https://www.pracuj.pl/praca/it-senior-cloud-engineer-poznan-roosevelta-22,oferta,1003716109"
CRM Scientist,Poznań,No salary information,"https://www.pracuj.pl/praca/crm-scientist-poznan,oferta,1003720131"
Senior Java Developer,"Poznań, Stare Miasto",No salary information,"https://www.pracuj.pl/praca/senior-java-developer-poznan-towarowa-37,oferta,1003740518"
Fullstack Developer (Java + React),Rokietnica (pow. poznański),No salary information,"https://www.pracuj.pl/praca/fullstack-developer-java-%2b-react-rokietnica-pow-poznanski-topolowa-5,oferta,1003719891"
Konsultant / Konsultantka ds. wdrożeń systemu IFS App/Cloud (moduł Projekty),Poznań,No salary information,"https://www.pracuj.pl/praca/konsultant-konsultantka-ds-wdrozen-systemu-ifs-app-cloud-modul-projekty-poznan,oferta,1003719879"
Android Developer,Poznań,No salary information,"https://www.pracuj.pl/praca/android-developer-poznan,oferta,1003737502"
Senior DevOps Engineer (AWS & Kubernetes),"Poznań, Stare Miasto",17 000–26 400 zł / mies. (zal. od umowy),"https://www.pracuj.pl/praca/senior-devops-engineer-aws-kubernetes-poznan-chopina-4,oferta,1003715485"
SAP Inhouse Consultant - MM / WM / LE,Pniewy,No salary information,"https://www.pracuj.pl/praca/sap-inhouse-consultant-mm-wm-le-pniewy,oferta,1003742625"
Analityk Biznesowo-Systemowy,Poznań,23 500–26 880 zł netto (+ VAT) / mies.,"https://www.pracuj.pl/praca/analityk-biznesowo-systemowy-poznan,oferta,1003737307"
Low-Code Developer,"Poznań, Jeżyce",No salary information,"https://www.pracuj.pl/praca/low-code-developer-poznan-dabrowskiego-29,oferta,1003751250"
Programista Robotów Przemysłowych / Programista sterowników PLC,Poznań,No salary information,"https://www.pracuj.pl/praca/programista-robotow-przemyslowych-programista-sterownikow-plc-poznan,oferta,1003742488"
AI/ML Engineer,"Poznań, Grunwald",No salary information,"https://www.pracuj.pl/praca/ai-ml-engineer-poznan-pastelowa-2-12,oferta,1003737075"
Senior AI/ML Engnieer,"Poznań, Grunwald",No salary information,"https://www.pracuj.pl/praca/senior-ai-ml-engnieer-poznan-pastelowa-2-12,oferta,1003737069"
Senior SAP EWM Consultant,"Miejsce pracy:Cała Polska (praca zdalna)Siedziba firmy:Poznań, Grunwald",No salary information,"https://www.pracuj.pl/praca/senior-sap-ewm-consultant-poznan-chociszewskiego-39,oferta,1003742275"
IT Project Manager,Poznań,8 000–12 000 zł netto (+ VAT) / mies.,"https://www.pracuj.pl/praca/it-project-manager-poznan,oferta,1003702730"
Senior Engineer (C with Java),"Poznań, Grunwald",13 500–27 000 zł / mies. (zal. od umowy),"https://www.pracuj.pl/praca/senior-engineer-c-with-java-poznan-marcelinska-90,oferta,1003745563"
Senior Python Developer,Poznań,17 000–23 000 zł netto (+ VAT) / mies.,"https://www.pracuj.pl/praca/senior-python-developer-poznan,oferta,1003736870"
Senior Cloud Serverless Developer,Poznań,14 000–26 000 zł netto (+ VAT) / mies.,"https://www.pracuj.pl/praca/senior-cloud-serverless-developer-poznan,oferta,1003736851"
Data Engineer,Poznań,17 000–21 000 zł / mies. (zal. od umowy),"https://www.pracuj.pl/praca/data-engineer-poznan,oferta,1003718766"
